ID, DATE, LATITUDE, LONGITUDE, ADTITUDE [m], TEMPERATURE [*C], HUMIDITY [%], PRESSURE [hPa], MQ7 [ppm], MQ7 DETECT, PM 1.0 [ug/m^3], PM 2.5 [ug/m^3], PM 10 [ug/m^3]
153 ,Sun Nov 01 2020 17:09:23 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,20 ,995.69 ,178 ,1 ,11 ,12 ,15
154 ,Sun Nov 01 2020 17:09:25 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,30 ,995.68 ,176 ,1 ,11 ,12 ,15
155 ,Sun Nov 01 2020 17:09:27 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,30 ,995.63 ,177 ,1 ,11 ,12 ,15
156 ,Sun Nov 01 2020 17:09:38 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,30 ,995.71 ,177 ,1 ,11 ,12 ,15
157 ,Sun Nov 01 2020 17:09:40 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,20 ,995.7 ,177 ,1 ,11 ,12 ,15
158 ,Sun Nov 01 2020 17:09:43 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,20 ,995.66 ,177 ,1 ,11 ,12 ,15
159 ,Sun Nov 01 2020 17:09:55 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,20 ,995.63 ,177 ,1 ,11 ,12 ,15
160 ,Sun Nov 01 2020 17:09:57 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,20 ,995.69 ,176 ,1 ,11 ,12 ,15
161 ,Sun Nov 01 2020 17:09:59 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,20 ,995.69 ,177 ,1 ,11 ,12 ,15
162 ,Sun Nov 01 2020 17:10:10 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.69 ,178 ,1 ,11 ,12 ,15
163 ,Sun Nov 01 2020 17:10:12 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,178 ,1 ,11 ,12 ,15
164 ,Sun Nov 01 2020 17:10:13 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,178 ,1 ,11 ,12 ,15
165 ,Sun Nov 01 2020 17:10:15 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.65 ,176 ,1 ,11 ,12 ,15
166 ,Sun Nov 01 2020 17:10:17 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,177 ,1 ,11 ,12 ,15
167 ,Sun Nov 01 2020 17:10:26 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.65 ,178 ,1 ,11 ,12 ,15
168 ,Sun Nov 01 2020 17:10:28 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,176 ,1 ,11 ,12 ,15
169 ,Sun Nov 01 2020 17:10:29 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,176 ,1 ,11 ,12 ,15
170 ,Sun Nov 01 2020 17:10:31 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,177 ,1 ,11 ,12 ,15
171 ,Sun Nov 01 2020 17:10:33 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.7 ,177 ,1 ,11 ,12 ,15
172 ,Sun Nov 01 2020 17:10:35 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,179 ,1 ,11 ,12 ,15
173 ,Sun Nov 01 2020 17:10:38 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,177 ,1 ,11 ,12 ,15
174 ,Sun Nov 01 2020 17:10:47 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,177 ,1 ,11 ,12 ,15
175 ,Sun Nov 01 2020 17:10:49 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.65 ,177 ,1 ,11 ,12 ,15
176 ,Sun Nov 01 2020 17:10:51 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,177 ,1 ,11 ,12 ,15
177 ,Sun Nov 01 2020 17:11:04 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,177 ,1 ,11 ,12 ,15
178 ,Sun Nov 01 2020 17:11:06 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,176 ,1 ,11 ,12 ,15
179 ,Sun Nov 01 2020 17:11:17 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.59 ,177 ,1 ,11 ,12 ,15
180 ,Sun Nov 01 2020 17:11:19 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,179 ,1 ,11 ,12 ,15
181 ,Sun Nov 01 2020 17:11:21 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.63 ,179 ,1 ,11 ,12 ,15
182 ,Sun Nov 01 2020 17:11:23 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.65 ,178 ,1 ,11 ,12 ,15
183 ,Sun Nov 01 2020 17:11:24 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.65 ,178 ,1 ,11 ,12 ,15
184 ,Sun Nov 01 2020 17:11:33 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,178 ,1 ,11 ,12 ,15
185 ,Sun Nov 01 2020 17:11:35 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,178 ,1 ,11 ,12 ,15
186 ,Sun Nov 01 2020 17:11:37 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,176 ,1 ,11 ,12 ,15
187 ,Sun Nov 01 2020 17:11:39 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.68 ,178 ,1 ,11 ,12 ,15
188 ,Sun Nov 01 2020 17:11:40 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.68 ,178 ,1 ,11 ,12 ,15
189 ,Sun Nov 01 2020 17:11:42 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,178 ,1 ,11 ,12 ,15
190 ,Sun Nov 01 2020 17:11:51 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,178 ,1 ,11 ,12 ,15
191 ,Sun Nov 01 2020 17:11:53 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.71 ,177 ,1 ,11 ,12 ,15
192 ,Sun Nov 01 2020 17:11:56 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.58 ,176 ,1 ,11 ,12 ,15
193 ,Sun Nov 01 2020 17:12:08 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,177 ,1 ,11 ,12 ,15
194 ,Sun Nov 01 2020 17:12:10 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,178 ,1 ,11 ,12 ,15
195 ,Sun Nov 01 2020 17:12:12 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.64 ,177 ,1 ,11 ,12 ,15
196 ,Sun Nov 01 2020 17:12:25 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.67 ,178 ,1 ,11 ,12 ,15
197 ,Sun Nov 01 2020 17:12:27 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.71 ,178 ,1 ,11 ,12 ,15
198 ,Sun Nov 01 2020 17:12:29 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.68 ,177 ,1 ,11 ,12 ,15
199 ,Sun Nov 01 2020 17:12:40 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.72 ,177 ,1 ,11 ,12 ,15
200 ,Sun Nov 01 2020 17:12:42 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.69 ,179 ,1 ,11 ,12 ,15
201 ,Sun Nov 01 2020 17:12:44 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.69 ,177 ,1 ,11 ,12 ,15
202 ,Sun Nov 01 2020 17:12:45 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.69 ,177 ,1 ,11 ,12 ,15
203 ,Sun Nov 01 2020 17:12:55 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.63 ,178 ,1 ,11 ,12 ,15
204 ,Sun Nov 01 2020 17:12:57 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,177 ,1 ,11 ,12 ,15
205 ,Sun Nov 01 2020 17:12:58 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.62 ,177 ,1 ,11 ,12 ,15
206 ,Sun Nov 01 2020 17:13:00 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.66 ,180 ,1 ,11 ,12 ,15
207 ,Sun Nov 01 2020 17:13:11 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.65 ,179 ,1 ,11 ,12 ,15
208 ,Sun Nov 01 2020 17:13:13 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,10 ,995.61 ,178 ,1 ,11 ,12 ,15
209 ,Sun Nov 01 2020 17:14:00 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,516 ,995.59 ,182 ,1 ,11 ,15 ,18
210 ,Sun Nov 01 2020 17:14:02 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,517 ,995.62 ,182 ,1 ,11 ,15 ,18
211 ,Sun Nov 01 2020 17:14:05 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,517 ,995.57 ,183 ,1 ,11 ,15 ,18
212 ,Sun Nov 01 2020 17:14:07 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,516 ,995.61 ,181 ,1 ,11 ,15 ,18
213 ,Sun Nov 01 2020 17:14:09 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,517 ,995.59 ,181 ,1 ,11 ,15 ,18
214 ,Sun Nov 01 2020 17:14:33 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,517 ,995.65 ,178 ,1 ,11 ,15 ,18
215 ,Sun Nov 01 2020 17:14:34 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,517 ,995.65 ,178 ,1 ,11 ,15 ,18
216 ,Sun Nov 01 2020 17:14:36 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,517 ,995.66 ,178 ,1 ,11 ,15 ,18
217 ,Sun Nov 01 2020 17:14:38 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,517 ,995.62 ,178 ,1 ,11 ,15 ,18
218 ,Sun Nov 01 2020 17:14:40 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,516 ,995.58 ,178 ,1 ,11 ,15 ,18
219 ,Sun Nov 01 2020 17:14:41 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,516 ,995.58 ,178 ,1 ,11 ,15 ,18
220 ,Sun Nov 01 2020 17:14:43 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,230 ,517 ,995.62 ,177 ,1 ,11 ,15 ,18
221 ,Sun Nov 01 2020 17:14:45 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,517 ,995.61 ,178 ,1 ,11 ,15 ,18
222 ,Sun Nov 01 2020 17:14:47 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,517 ,995.61 ,179 ,1 ,11 ,15 ,18
223 ,Sun Nov 01 2020 17:14:50 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,517 ,995.66 ,177 ,1 ,11 ,15 ,18
224 ,Sun Nov 01 2020 17:14:52 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,518 ,995.56 ,177 ,1 ,11 ,15 ,18
225 ,Sun Nov 01 2020 17:14:54 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,518 ,995.65 ,179 ,1 ,11 ,15 ,18
226 ,Sun Nov 01 2020 17:14:57 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.62 ,177 ,1 ,11 ,15 ,18
227 ,Sun Nov 01 2020 17:15:18 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.67 ,178 ,1 ,11 ,15 ,18
228 ,Sun Nov 01 2020 17:15:20 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,520 ,995.59 ,179 ,1 ,11 ,15 ,18
229 ,Sun Nov 01 2020 17:15:22 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,520 ,995.66 ,178 ,1 ,11 ,15 ,18
230 ,Sun Nov 01 2020 17:15:25 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,520 ,995.67 ,176 ,1 ,11 ,15 ,18
231 ,Sun Nov 01 2020 17:15:27 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.68 ,176 ,1 ,11 ,15 ,18
232 ,Sun Nov 01 2020 17:15:29 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.63 ,178 ,1 ,11 ,15 ,18
233 ,Sun Nov 01 2020 17:15:31 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.56 ,178 ,1 ,11 ,15 ,18
234 ,Sun Nov 01 2020 17:15:34 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.63 ,177 ,1 ,11 ,15 ,18
235 ,Sun Nov 01 2020 17:15:36 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.65 ,176 ,1 ,11 ,15 ,18
236 ,Sun Nov 01 2020 17:15:38 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.6 ,179 ,1 ,11 ,15 ,18
237 ,Sun Nov 01 2020 17:15:41 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.63 ,177 ,1 ,11 ,15 ,18
238 ,Sun Nov 01 2020 17:15:43 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.62 ,176 ,1 ,11 ,15 ,18
239 ,Sun Nov 01 2020 17:15:45 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.62 ,176 ,1 ,11 ,15 ,18
240 ,Sun Nov 01 2020 17:15:47 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.61 ,178 ,1 ,11 ,15 ,18
241 ,Sun Nov 01 2020 17:15:48 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,229 ,519 ,995.61 ,178 ,1 ,11 ,15 ,18
242 ,Sun Nov 01 2020 17:15:50 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.64 ,178 ,1 ,11 ,15 ,18
243 ,Sun Nov 01 2020 17:15:52 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.65 ,178 ,1 ,11 ,15 ,18
244 ,Sun Nov 01 2020 17:15:54 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.63 ,179 ,1 ,11 ,15 ,18
245 ,Sun Nov 01 2020 17:15:56 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.62 ,177 ,1 ,11 ,15 ,18
246 ,Sun Nov 01 2020 17:15:57 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.62 ,177 ,1 ,11 ,15 ,18
247 ,Sun Nov 01 2020 17:15:59 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.59 ,177 ,1 ,11 ,15 ,18
248 ,Sun Nov 01 2020 17:16:01 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.59 ,178 ,1 ,11 ,15 ,18
249 ,Sun Nov 01 2020 17:16:03 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.62 ,177 ,1 ,11 ,15 ,18
250 ,Sun Nov 01 2020 17:16:06 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.65 ,177 ,1 ,11 ,15 ,18
251 ,Sun Nov 01 2020 17:16:08 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.64 ,178 ,1 ,11 ,15 ,18
252 ,Sun Nov 01 2020 17:16:20 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.61 ,177 ,1 ,11 ,15 ,18
253 ,Sun Nov 01 2020 17:16:24 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.61 ,178 ,1 ,11 ,15 ,18
254 ,Sun Nov 01 2020 17:16:28 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.58 ,178 ,1 ,11 ,15 ,18
255 ,Sun Nov 01 2020 17:16:30 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.53 ,177 ,1 ,11 ,15 ,18
256 ,Sun Nov 01 2020 17:16:32 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.58 ,177 ,1 ,11 ,15 ,18
257 ,Sun Nov 01 2020 17:16:35 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.52 ,178 ,1 ,11 ,15 ,18
258 ,Sun Nov 01 2020 17:16:37 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.58 ,177 ,1 ,11 ,15 ,18
259 ,Sun Nov 01 2020 17:16:39 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.53 ,178 ,1 ,11 ,15 ,18
260 ,Sun Nov 01 2020 17:16:41 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.6 ,177 ,1 ,11 ,15 ,18
261 ,Sun Nov 01 2020 17:16:42 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.6 ,177 ,1 ,11 ,15 ,18
262 ,Sun Nov 01 2020 17:16:44 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.57 ,179 ,1 ,11 ,15 ,18
263 ,Sun Nov 01 2020 17:16:46 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.6 ,176 ,1 ,11 ,15 ,18
264 ,Sun Nov 01 2020 17:16:48 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.57 ,178 ,1 ,11 ,15 ,18
265 ,Sun Nov 01 2020 17:16:50 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.64 ,179 ,1 ,11 ,15 ,18
266 ,Sun Nov 01 2020 17:16:51 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.64 ,179 ,1 ,11 ,15 ,18
267 ,Sun Nov 01 2020 17:16:53 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.58 ,177 ,1 ,11 ,15 ,18
268 ,Sun Nov 01 2020 17:16:55 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.57 ,177 ,1 ,11 ,15 ,18
269 ,Sun Nov 01 2020 17:16:57 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.45 ,179 ,1 ,11 ,15 ,18
270 ,Sun Nov 01 2020 17:17:00 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.63 ,180 ,1 ,11 ,15 ,18
271 ,Sun Nov 01 2020 17:17:02 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.57 ,177 ,1 ,11 ,15 ,18
272 ,Sun Nov 01 2020 17:17:04 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.53 ,178 ,1 ,11 ,15 ,18
273 ,Sun Nov 01 2020 17:17:17 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,520 ,995.58 ,177 ,1 ,11 ,15 ,18
274 ,Sun Nov 01 2020 17:17:19 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,521 ,995.56 ,177 ,1 ,11 ,15 ,18
275 ,Sun Nov 01 2020 17:17:23 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,521 ,995.58 ,179 ,1 ,11 ,15 ,18
276 ,Sun Nov 01 2020 17:17:25 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,522 ,995.61 ,177 ,1 ,11 ,15 ,18
277 ,Sun Nov 01 2020 17:17:27 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,522 ,995.61 ,178 ,1 ,11 ,15 ,18
278 ,Sun Nov 01 2020 17:17:29 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,522 ,995.56 ,179 ,1 ,11 ,15 ,18
279 ,Sun Nov 01 2020 17:17:30 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,522 ,995.56 ,179 ,1 ,11 ,15 ,18
280 ,Sun Nov 01 2020 17:17:32 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,522 ,995.58 ,177 ,1 ,11 ,15 ,18
281 ,Sun Nov 01 2020 17:17:34 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,522 ,995.6 ,178 ,1 ,11 ,15 ,18
282 ,Sun Nov 01 2020 17:17:36 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,523 ,995.6 ,178 ,1 ,11 ,15 ,18
283 ,Sun Nov 01 2020 17:17:38 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,523 ,995.56 ,177 ,1 ,11 ,15 ,18
284 ,Sun Nov 01 2020 17:17:39 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,523 ,995.56 ,177 ,1 ,11 ,15 ,18
285 ,Sun Nov 01 2020 17:17:41 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,522 ,995.6 ,177 ,1 ,11 ,15 ,18
286 ,Sun Nov 01 2020 17:17:43 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,522 ,995.57 ,177 ,1 ,11 ,15 ,18
287 ,Sun Nov 01 2020 17:17:45 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,520 ,995.61 ,180 ,1 ,11 ,15 ,18
288 ,Sun Nov 01 2020 17:17:46 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,520 ,995.61 ,180 ,1 ,11 ,15 ,18
289 ,Sun Nov 01 2020 17:17:48 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.6 ,180 ,1 ,11 ,15 ,18
290 ,Sun Nov 01 2020 17:17:50 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,520 ,995.6 ,261 ,0 ,11 ,15 ,18
291 ,Sun Nov 01 2020 17:17:54 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,519 ,995.59 ,284 ,0 ,11 ,15 ,18
292 ,Sun Nov 01 2020 17:17:56 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.59 ,223 ,0 ,11 ,15 ,18
293 ,Sun Nov 01 2020 17:17:58 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.55 ,201 ,0 ,11 ,15 ,18
294 ,Sun Nov 01 2020 17:17:59 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,519 ,995.55 ,201 ,0 ,11 ,15 ,18
295 ,Sun Nov 01 2020 17:18:01 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,519 ,995.57 ,246 ,0 ,11 ,15 ,18
296 ,Sun Nov 01 2020 17:18:03 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,227 ,520 ,995.57 ,249 ,0 ,11 ,15 ,18
297 ,Sun Nov 01 2020 17:18:05 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,523 ,995.63 ,222 ,0 ,11 ,15 ,18
298 ,Sun Nov 01 2020 17:18:07 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,524 ,995.58 ,202 ,0 ,11 ,15 ,18
299 ,Sun Nov 01 2020 17:18:08 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,524 ,995.58 ,202 ,0 ,11 ,15 ,18
300 ,Sun Nov 01 2020 17:18:10 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,0 ,995.61 ,192 ,1 ,11 ,15 ,18
301 ,Sun Nov 01 2020 17:18:12 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,546 ,995.58 ,190 ,1 ,11 ,15 ,18
302 ,Sun Nov 01 2020 17:18:14 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,0 ,995.58 ,207 ,0 ,11 ,15 ,18
303 ,Sun Nov 01 2020 17:18:15 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,0 ,995.58 ,207 ,0 ,11 ,15 ,18
304 ,Sun Nov 01 2020 17:18:17 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,568 ,995.54 ,262 ,0 ,11 ,15 ,18
305 ,Sun Nov 01 2020 17:18:19 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,593 ,995.62 ,252 ,0 ,11 ,15 ,18
306 ,Sun Nov 01 2020 17:18:21 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,228 ,593 ,995.54 ,247 ,0 ,11 ,15 ,18
